"Family","Species","wingspan","wintering","host_usage","voltinism","Abbrev_in_phylo"
"Geometridae","Deileptenia ribeata",41.9,"larva","polyphagous","univoltine","Dei.ribe"
"Geometridae","Xanthorhoe decoloraria",23.8,"larva","oligophagous","univoltine","Xan.deco"
"Geometridae","Acronicta rumicis",35.5,"pupa","polyphagous","bivoltine","Acr.rumi"
"Geometridae","Macaria alternata",25.3,"pupa","polyphagous","bivoltine","Mac.alte"
"Geometridae","Agriopis aurantiaria",0,"egg","polyphagous","univoltine","Agr.aura"
"Noctuidae","Photedes minima",20,"larva","oligophagous","bivoltine","Pho.mini"
"Geometridae","Aplocera praeformata",39,"larva","oligophagous","univoltine","Apl.prae"
"Erebidae","Polypogon tentacularius",23.2,"larva","polyphagous","bivoltine","Pol.tent"
"Geometridae","Selenia dentaria",41.6,"pupa","polyphagous","bivoltine","Sel.dent"
"Geometridae","Idaea emarginata",20.8,"larva","polyphagous","univoltine","Ida.emar"
"Erebidae","Miltochrista miniata",26.2,"larva","polyphagous","univoltine","Mil.mini"
"Geometridae","Macaria notata",28.6,"pupa","polyphagous","bivoltine","Mac.nota"
"Geometridae","Epirrita christyi",32.8,"egg","polyphagous","univoltine","Epi.chri"
"Noctuidae","Diarsia rubi",33.1,"larva","polyphagous","bivoltine","Dia.rubi"
"Geometridae","Timandra griseata",27.8,"larva","polyphagous","bivoltine","Tim.gris"
"Geometridae","Cleora cinctaria",30.1,"pupa","polyphagous","univoltine","Cle.cinc"
"Geometridae","Colotois pennaria",42.1,"egg","polyphagous","univoltine","Col.penn"
"Geometridae","Idaea straminata",24.4,"larva","polyphagous","bivoltine","Ida.stra"
"Geometridae","Idaea dimidiata",18.1,"larva","oligophagous","bivoltine","Ida.dimi"
"Noctuidae","Tholera decimalis",41.4,"egg","polyphagous","univoltine","Tho.deci"
"Geometridae","Lomographa bimaculata",27.2,"pupa","polyphagous","univoltine","Lom.bima"
"Geometridae","Eupithecia icterata",20.4,"pupa","polyphagous","univoltine","Eup.icte"
"Geometridae","Jodis putata",20.7,"pupa","oligophagous","univoltine","Jod.puta"
"Geometridae","Erannis defoliaria",0,"egg","polyphagous","univoltine","Era.defo"
"Geometridae","Calospilus sylvatus",37.9,"pupa","monophagous","multivoltine","Cal.sylv"
"Geometridae","Arichanna melanaria",36.4,"larva","oligophagous","univoltine","Ari.mela"
"Geometridae","Cepphis advenaria",26.3,"pupa","oligophagous","univoltine","Cep.adve"
"Noctuidae","Ochropleura plecta",28.5,"pupa","polyphagous","bivoltine","Och.plec"
"Drepanidae","Falcaria lacertinaria",32.9,"pupa","polyphagous","multivoltine","Fal.lace"
"Geometridae","Xanthorhoe quadrifasiata",26.5,"larva","polyphagous","univoltine","Xan.quad"
"Erebidae","Catocala fraxini",91.6,"egg","polyphagous","univoltine","Cat.frax"
"Geometridae","Xanthorhoe fluctuata",24.3,"pupa","polyphagous","multivoltine","Xan.fluc"
"Geometridae","Macaria loricaria",0,"egg","polyphagous","univoltine","Mac.lori"
"Geometridae","Eupithecia subfuscata",18.3,"pupa","polyphagous","univoltine","Eup.subf"
"Notodontidae","Clostera pigra",27.2,"pupa","polyphagous","bivoltine","Clo.pigr"
"Noctuidae","Lycophotia porphyrea",28.8,"larva","polyphagous","univoltine","Lyc.porp"
"Noctuidae","Mesapamea secalis",32.8,"larva","polyphagous","univoltine","Mes.secs"
"Drepanidae","Tethea or",39.6,"pupa","polyphagous","bivoltine","Tet.or"
"Geometridae","Ennomos alniarius",39.4,"egg","polyphagous","univoltine","Enn.alni"
"Noctuidae","Tholera cespitis",38.3,"egg","polyphagous","univoltine","Tho.cesp"
"Drepanidae","Drepana falcataria",36.4,"pupa","polyphagous","multivoltine","Dre.falc"
"Erebidae","Parascotia fuliginaria",22.5,"larva","polyphagous","univoltine","Par.fuli"
"Noctuidae","Colocasia coryli",32.9,"pupa","polyphagous","bivoltine","Col.cory"
"Noctuidae","Oligia latruncula",24.5,"larva","polyphagous","univoltine","Oli.latr"
"Geometridae","Eupithecia absinthiata",20.2,"pupa","polyphagous","univoltine","Eup.absi"
"Geometridae","Ecliptopera silaceata",26.4,"pupa","oligophagous","bivoltine","Ecl.sila"
"Erebidae","Paracolax tristalis",27.6,"larva","polyphagous","univoltine","Par.tris"
"Erebidae","Laspeyria flexula",26.6,"larva","polyphagous","univoltine","Las.flex"
"Geometridae","Venusia cambrica",25.7,"pupa","oligophagous","univoltine","Ven.camb"
"Noctuidae","Amphipyra perflua",50.6,"egg","oligophagous","univoltine","Amp.perf"
"Noctuidae","Orthosia opima",34.9,"pupa","polyphagous","univoltine","Ort.opim"
"Noctuidae","Hydraecia nordstroemi",32.7,"egg","polyphagous","univoltine","Hyd.nord"
"Noctuidae","Autographa bractea",40.7,"larva","polyphagous","univoltine","Aut.brac"
"Geometridae","Chloroclysta siterata",29.3,"adult","polyphagous","univoltine","Chl.site"
"Geometridae","Aethalura punctulata",26.9,"pupa","oligophagous","univoltine","Aet.punc"
"Noctuidae","Hada plebeja",33.3,"pupa","polyphagous","bivoltine","Had.pleb"
"Geometridae","Opisthograptis luteolata",37,"pupa","polyphagous","bivoltine","Opi.lute"
"Geometridae","Angerona prunaria",43.6,"larva","polyphagous","univoltine","Ang.prun"
"Geometridae","Eupithecia succenturiata",22.6,"pupa","polyphagous","univoltine","Eup.succ"
"Geometridae","Xanthorhoe ferrugata",21.9,"pupa","polyphagous","bivoltine","Xan.ferr"
"Noctuidae","Apamea crenata",39.4,"larva","polyphagous","univoltine","Apa.cren"
"Erebidae","Lymantria monacha",48.3,"egg","oligophagous","univoltine","Lym.mona"
"Nolidae","Nycteola degenerana",26.3,"adult","polyphagous","univoltine","Nyc.dege"
"Geometridae","Hypomecis punctinalis",41.5,"pupa","polyphagous","bivoltine","Hyp.punc"
"Noctuidae","Ipimorpha subtusa",32.5,"egg","polyphagous","univoltine","Ipi.subt"
"Geometridae","Eupithecia plumbeolata",14.5,"pupa","oligophagous","univoltine","Eup.plum"
"Noctuidae","Cryptocala chardinyi",28,"larva","polyphagous","univoltine","Cry.char"
"Erebidae","Herminia tarsipennalis",29.3,"larva","polyphagous","bivoltine","Her.tarp"
"Geometridae","Gymnoscelis rufifasciata",16.3,"pupa","polyphagous","multivoltine","Gym.rufi"
"Noctuidae","Acronicta megacephala",40.5,"pupa","polyphagous","univoltine","Acr.mega"
"Erebidae","Lygephila pastinum",40.3,"larva","oligophagous","univoltine","Lyg.past"
"Noctuidae","Crypsedra gemmea",38.2,"egg","polyphagous","univoltine","Cry.gemm"
"Noctuidae","Lacanobia oleracea",37,"pupa","polyphagous","bivoltine","Lac.oler"
"Noctuidae","Gortyna flavago",38.6,"egg","oligophagous","univoltine","Gor.flav"
"Geometridae","Hydrelia flammeolaria",19.2,"pupa","oligophagous","univoltine","Hyd.flam"
"Noctuidae","Lithophane socia",46.9,"larva","polyphagous","univoltine","Lit.soci"
"Noctuidae","Polia bombycina",49.1,"larva","polyphagous","univoltine","Pol.bomb"
"Geometridae","Eupithecia assimilata",17.5,"pupa","monophagous","bivoltine","Eup.assi"
"Geometridae","Eupithecia inturbata",16.3,"egg","monophagous","univoltine","Eup.intu"
"Geometridae","Eupithecia lanceata",18.1,"pupa","oligophagous","univoltine","Eup.lanc"
"Noctuidae","Apamea lateritia",46.5,"larva","polyphagous","univoltine","Apa.late"
"Geometridae","Hydrelia sylvata",21.7,"pupa","oligophagous","bivoltine","Hyd.sylv"
"Geometridae","Ennomos autumnarius",48.2,"egg","polyphagous","univoltine","Enn.autu"
"Geometridae","Scopula immorata",24.7,"larva","oligophagous","bivoltine","Sco.immo"
"Erebidae","Thumatha senex",18.4,"larva","polyphagous","univoltine","Thu.sene"
"Geometridae","Thera cognata",23.9,"egg","oligophagous","univoltine","The.cogn"
"Erebidae","Schrankia costaestrigalis",20.3,"larva","polyphagous","bivoltine","Sch.cost"
"Lasiocampidae","Macrothylacia rubi",53.9,"larva","polyphagous","univoltine","Mac.rubi"
"Geometridae","Euchoeca nebulata",22.2,"pupa","oligophagous","bivoltine","Euc.nebu"
"Geometridae","Eupithecia tantillaria",17.6,"pupa","polyphagous","univoltine","Eup.tant"
"Drepanidae","Tetheella fluctuosa",39.7,"pupa","oligophagous","univoltine","Tet.fluc"
"Geometridae","Pelurga comitata",28.2,"pupa","polyphagous","univoltine","Pel.comi"
"Noctuidae","Agrotis clavis",37.1,"larva","polyphagous","univoltine","Agr.clav"
"Noctuidae","Staurophora celsia",40.9,"egg","polyphagous","univoltine","Sta.cels"
"Lasiocampidae","Trichiura crataegi",34.5,"larva","polyphagous","univoltine","Tri.carp"
"Nolidae","Nola aerugula",18.7,"larva","polyphagous","univoltine","Nol.aeru"
"Geometridae","Perizoma affinitatum",24.9,"pupa","monophagous","bivoltine","Per.affi"
"Noctuidae","Polia nebulosa",52.3,"larva","polyphagous","univoltine","Pol.nebu"
"Erebidae","Phalera bucephala",57.6,"pupa","polyphagous","bivoltine","Pha.buce"
"Geometridae","Xanthorhoe annotinata",23.9,"larva","oligophagous","univoltine","Xan.anno"
"Erebidae","Clostera curtula",35.5,"pupa","polyphagous","bivoltine","Clo.curt"
"Erebidae","Coscinia cribraria",35.7,"larva","polyphagous","univoltine","Cos.crib"
"Noctuidae","Xestia alpicola",39.7,"larva","polyphagous","univoltine","Xes.alpi"
"Erebidae","Diacrisia sannio",36.3,"larva","polyphagous","bivoltine","Dia.sann"
"Notodontidae","Pterostoma palpinum",49.6,"pupa","polyphagous","bivoltine","Pte.palp"
"Noctuidae","Xestia c-nigrum",38.1,"larva","polyphagous","multivoltine","Xes.c-nig"
"Noctuidae","Mythimna ferrago",37.5,"larva","polyphagous","univoltine","Myt.ferr"
"Noctuidae","Orthosia cruda",29.8,"pupa","polyphagous","univoltine","Ort.crud"
"Geometridae","Coenocalpe lapidata",24.8,"egg","oligophagous","univoltine","Coe.lapi"
"Noctuidae","Eugnorisma depunctum",38.2,"larva","polyphagous","univoltine","Eug.depu"
"Noctuidae","Lithophane furcifera",43.8,"adult","oligophagous","univoltine","Lit.furc"
"Sphingidae","Sphinx pinastri",82.8,"pupa","oligophagous","univoltine","Sph.pina"
"Noctuidae","Apamea scolopacina",30.5,"larva","polyphagous","univoltine","Apa.scol"
"Noctuidae","Euplexia lucipara",32.3,"pupa","polyphagous","bivoltine","Eup.luci"
"Geometridae","Eupithecia exiguata",18.4,"pupa","oligophagous","univoltine","Eup.exig"
"Geometridae","Cyclophora albipunctata",24.2,"pupa","oligophagous","bivoltine","Cyc.albi"
"Erebidae","Hypenodes humidalis",14.8,"larva","polyphagous","bivoltine","Hyp.humi"
"Erebidae","Herminia grisealis",25.7,"pupa","polyphagous","bivoltine","Her.gris"
"Geometridae","Pasiphila rectangulata",19.1,"egg","polyphagous","univoltine","Pas.rect"
"Geometridae","Siona lineata",37.3,"larva","polyphagous","univoltine","Sio.line"
"Sphingidae","Smerinthus ocellatus",83.5,"pupa","polyphagous","univoltine","Sme.ocel"
"Noctuidae","Cerastis leucographa",31.3,"pupa","polyphagous","univoltine","Cer.leuc"
"Geometridae","Selenia tetralunaria",44,"pupa","polyphagous","bivoltine","Sel.tetr"
"Noctuidae","Agrotis exclamationis",37.8,"larva","polyphagous","bivoltine","Agr.excl"
"Noctuidae","Apamea monoglypha",47.7,"larva","polyphagous","univoltine","Apa.mono"
"Geometridae","Timandra comai",27.8,"larva","polyphagous","multivoltine","Tim.coma"
"Noctuidae","Amphipoea lucens",33.5,"egg","polyphagous","univoltine","Amp.luce"
"Noctuidae","Spargania luctuata",26.6,"pupa","oligophagous","univoltine","Spa.luct"
"Geometridae","Epirrita dilutata",35.4,"egg","polyphagous","univoltine","Epi.dilu"
"Noctuidae","Mythimna pallens",34.9,"larva","polyphagous","bivoltine","Myt.pall"
"Noctuidae","Mesoligia furuncula",21.6,"larva","polyphagous","univoltine","Mes.furu"
"Geometridae","Xanthorhoe spadicearia",20.9,"pupa","polyphagous","bivoltine","Xan.spad"
"Geometridae","Eupithecia conterminata",15,"pupa","oligophagous","univoltine","Eup.cont"
